"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.045832273E-5,-5.250331879E0,3.174897766E0,6.977290649E0
1.991845836E-2,-5.539081421E0,2.821482697E0,7.206464081E0
3.980545833E-2,-5.580844574E0,2.535128174E0,7.001989288E0
5.969345837E-2,-5.907315674E0,1.927541656E0,6.403982849E0
7.958045835E-2,-6.374494171E0,1.859283600E0,6.893764343E0
9.946845833E-2,-6.718329163E0,1.408870239E0,6.910978546E0
1.193564584E-1,-6.574478302E0,8.228388977E-1,6.678062897E0
1.392434583E-1,-6.700067139E0,5.541476440E-1,6.302793274E0
1.591314583E-1,-6.929240570E0,-1.128652954E-1,5.425617371E0
1.790194584E-1,-7.468269653E0,3.047662354E-1,4.548740845E0
1.989064583E-1,-7.755073242E0,3.272195435E-1,4.678520966E0
2.187944584E-1,-7.394173737E0,3.650907898E-1,5.346282349E0
2.386824584E-1,-6.835535431E0,3.520678711E-1,5.312303009E0
2.585694583E-1,-6.744524689E0,7.794291687E-1,4.540807343E0
2.784574584E-1,-6.351591797E0,5.812413025E-1,6.198909302E0
2.983454583E-1,-6.440057831E0,-7.074288940E-1,7.268135834E0
3.182324583E-1,-6.534960480E0,-1.527573395E0,7.301815796E0
3.381204584E-1,-7.572752380E0,-1.305734711E0,5.136718140E0
3.580084583E-1,-9.017697601E0,-1.272503815E0,4.030219116E0
3.778954584E-1,-1.049347870E1,-2.307751007E0,4.379592590E0
3.977834583E-1,-9.169182587E0,-4.270469513E0,4.321962433E0
4.176715834E-1,-8.745413818E0,-4.740641785E0,4.040397949E0
4.375585833E-1,-8.667725372E0,-4.969515839E0,3.165167999E0
4.574465834E-1,-9.937385101E0,-4.839286652E0,1.480421448E0
4.773345834E-1,-1.020817200E1,-4.716691589E0,-3.158132629E0
4.972215833E-1,-9.583820343E0,-4.881199493E0,-2.198328552E0
5.171095834E-1,-9.069340210E0,-5.207670593E0,9.394464111E-1
5.369975833E-1,-1.742616211E1,-5.065316620E0,3.719914398E0
5.568845833E-1,-1.305001236E1,-3.096161499E0,-9.810449066E0
5.767725834E-1,-7.714806976E0,-4.413871307E0,-1.391027344E1
5.966605833E-1,-8.088280334E0,-5.685327301E0,-1.996548157E0
6.165475834E-1,-7.983348541E0,-6.618636475E0,-1.853146362E-1
6.364355834E-1,-8.839268646E0,-5.763315125E0,-4.448150024E0
6.563235833E-1,-9.670340424E0,-4.315076752E0,-6.309529266E0
6.762105834E-1,-8.505163422E0,-5.579946442E0,-3.508553925E0
6.960985833E-1,-6.331383820E0,-6.832242279E0,-1.406924286E0
7.159865833E-1,-4.425097961E0,-7.259753265E0,-2.855012970E0
7.358745834E-1,-5.624104614E0,-6.638545074E0,-3.515888672E0
7.557615833E-1,-9.064699860E0,-6.962471466E0,-3.081791382E0
7.756495834E-1,-9.409283295E0,-4.878056030E0,-4.495900726E0
7.955375834E-1,-7.604486389E0,-7.215295715E0,-4.299359436E0
8.154245833E-1,-1.110555588E1,-5.006638641E0,-4.159699860E0
8.353125834E-1,-7.253466339E0,-8.474177856E0,1.619182892E0
8.552005833E-1,-7.700436859E0,-5.354964294E0,-5.949078827E0
8.750875833E-1,-9.622290344E0,-5.492528229E0,-7.142846375E0
8.949755834E-1,-1.214738937E1,-6.707850952E0,-2.069147186E0
9.148635833E-1,-6.667734375E0,-3.764521637E0,-1.801653442E0
9.347515833E-1,-1.530761765E1,-8.424181824E0,-2.404000854E0
9.546385834E-1,-1.478340775E1,2.857707367E0,-3.129392395E0
9.745265833E-1,-6.598877563E0,-3.010838928E0,-2.629282379E0
9.944145834E-1,-3.535348206E0,-6.670129395E-1,-4.647236023E0
1.014301583E0,-4.268373871E0,-1.643881531E0,-3.584895172E0
1.034189583E0,-3.246598663E0,-2.326312408E0,-4.596192169E0
1.054077583E0,-5.310656433E0,-1.361418915E0,-4.249213715E0
1.073965583E0,-4.156855774E0,3.427871704E-1,-4.966971130E0
1.093852583E0,-5.123395844E0,9.270222473E-1,-5.191953278E0
1.113740583E0,-1.168125870E1,-1.609602814E0,-4.104165344E0
1.133628583E0,-8.758586426E0,7.530839539E-1,-7.897277527E0
1.153516583E0,-5.572462006E0,1.877096558E-1,-7.507338409E0
1.173403583E0,-7.066954193E0,-2.499801636E0,-8.562793579E0
1.193291583E0,-6.586752777E0,-4.065246277E0,-7.066804504E0
1.213179583E0,-7.610024872E0,-5.129533081E0,-2.543959808E0
1.233067583E0,-8.766220551E0,-3.061284027E0,4.628824310E0
