"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
1.494645834E-2,-4.851006226E0,2.952859984E0,7.999028435E0
3.483345837E-2,-4.873668864E0,2.895396473E0,8.006255593E0
5.472145835E-2,-4.901815314E0,2.820468205E0,8.015813452E0
7.460945833E-2,-4.945383210E0,2.724224789E0,8.022336606E0
9.449645836E-2,-5.036509727E0,2.636245536E0,7.994990932E0
1.143844583E-1,-5.212577577E0,2.542126999E0,7.912188511E0
1.342724583E-1,-5.486276971E0,2.426814351E0,7.761922086E0
1.541594584E-1,-5.875484601E0,2.282627422E0,7.516940122E0
1.740474583E-1,-6.367810804E0,2.107099124E0,7.158716887E0
1.939344584E-1,-6.900335444E0,1.895906466E0,6.710217320E0
2.138224583E-1,-7.392652291E0,1.675821508E0,6.227070662E0
2.337104583E-1,-7.842760427E0,1.438091407E0,5.714814225E0
2.535974584E-1,-8.236448194E0,1.143774512E0,5.204690852E0
2.734854583E-1,-8.583958746E0,7.713997722E-1,4.685797533E0
2.933734583E-1,-8.907844207E0,3.256836261E-1,4.096380654E0
3.132604584E-1,-9.198784116E0,-1.554820872E-1,3.405041835E0
3.331484583E-1,-9.422562321E0,-7.080633900E-1,2.636297576E0
3.530364584E-1,-9.532225682E0,-1.357534171E0,1.878796636E0
3.729234583E-1,-9.524603836E0,-2.033281535E0,1.176341383E0
3.928114583E-1,-9.421986955E0,-2.682576826E0,5.158199129E-1
4.126994584E-1,-9.234466749E0,-3.310620705E0,-2.217355767E-2
4.325865834E-1,-8.973775072E0,-3.946434363E0,-3.648161899E-1
4.524745833E-1,-8.663698980E0,-4.571313728E0,-5.286852491E-1
4.723625833E-1,-8.340678906E0,-5.137159020E0,-5.279779553E-1
4.922495834E-1,-8.019182618E0,-5.634216789E0,-4.294067998E-1
5.121375833E-1,-7.699637545E0,-6.065758261E0,-3.978243801E-1
5.320255833E-1,-7.389771368E0,-6.427248920E0,-5.637913472E-1
5.519125834E-1,-7.211347091E0,-6.601690074E0,-8.063823478E-1
5.718005833E-1,-7.112915647E0,-6.663539582E0,-1.113464519E0
5.916885834E-1,-7.024487620E0,-6.704234449E0,-1.394971115E0
6.115765834E-1,-6.946063010E0,-6.723508042E0,-1.668166918E0
6.314635833E-1,-6.881737790E0,-6.726625777E0,-1.905335686E0
6.513515834E-1,-6.909827814E0,-6.627959275E0,-2.135540127E0
6.712395833E-1,-7.043513875E0,-6.416275451E0,-2.335899211E0
6.911265833E-1,-7.224208041E0,-6.159010241E0,-2.472551272E0
7.110145834E-1,-7.383713652E0,-5.917500354E0,-2.588449518E0
7.309025833E-1,-7.509349267E0,-5.704260585E0,-2.703184753E0
7.507895834E-1,-7.618352476E0,-5.487843440E0,-2.842601085E0
7.706775834E-1,-7.730108555E0,-5.228517671E0,-3.023924704E0
7.905655833E-1,-7.849226278E0,-4.935362252E0,-3.204367441E0
8.104525834E-1,-7.966272333E0,-4.604086203E0,-3.402500928E0
8.303405833E-1,-7.990558158E0,-4.351835858E0,-3.667235371E0
8.502285833E-1,-7.995732944E0,-4.119449966E0,-3.915929147E0
