"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.494645834E-2,-2.993303537E-1,1.289479136E-1,-4.724455252E-2
3.483345837E-2,-3.427318037E-1,1.109527647E-1,-9.743227810E-2
5.472145835E-2,-4.590679407E-1,1.568913460E-1,-1.889768839E-1
7.460945833E-2,-4.519779682E-1,2.959908247E-1,-2.164839804E-1
9.449645836E-2,-3.933343291E-1,7.282400131E-1,-2.411303222E-1
1.143844583E-1,-3.474472463E-1,1.279700518E0,-4.600454569E-1
1.342724583E-1,-2.461026162E-1,1.852338195E0,-8.462463617E-1
1.541594584E-1,-1.865086854E-1,2.668344736E0,-1.108644962E0
1.740474583E-1,-2.487004548E-1,3.317377806E0,-1.276124239E0
1.939344584E-1,-3.480338156E-1,3.559696674E0,-1.260784030E0
2.138224583E-1,-2.272167057E-1,3.403858423E0,-1.345554471E0
2.337104583E-1,-1.160492674E-1,3.369057894E0,-1.563371658E0
2.535974584E-1,-2.789751887E-1,3.099869013E0,-1.866420269E0
2.734854583E-1,-2.324657291E-1,3.237500429E0,-2.284063339E0
2.933734583E-1,1.355258375E-1,3.581057072E0,-2.712763071E0
3.132604584E-1,8.297472596E-1,4.068369389E0,-3.058972836E0
3.331484583E-1,1.135513544E0,4.229160309E0,-3.552972317E0
3.530364584E-1,1.173984289E0,4.017706871E0,-3.851637840E0
3.729234583E-1,1.291042924E0,3.893001795E0,-3.599863768E0
3.928114583E-1,1.524253130E0,3.762402773E0,-3.493719339E0
4.126994584E-1,1.914324522E0,3.052575111E0,-3.433774471E0
4.325865834E-1,2.167941570E0,2.384860516E0,-3.473931789E0
4.524745833E-1,2.285593271E0,1.590668201E0,-3.367725134E0
4.723625833E-1,1.654674888E0,6.002100706E-1,-3.089295864E0
4.922495834E-1,1.047735572E0,1.554034203E-1,-2.842058897E0
5.121375833E-1,1.202568531E0,1.243829370E0,-2.553429365E0
5.320255833E-1,2.507751942E0,3.825625896E0,-1.766518116E0
5.519125834E-1,1.911450148E0,3.617873430E0,-3.768533468E-1
5.718005833E-1,-6.034564972E-1,1.574667096E0,-4.576713741E-1
5.916885834E-1,-5.699393153E-1,1.438092351E0,-2.362390906E-1
6.115765834E-1,6.514369845E-1,2.358324528E0,9.583429992E-2
6.314635833E-1,6.018855572E-1,2.231243610E0,4.137573838E-1
6.513515834E-1,-3.191289306E-1,1.318610430E0,1.087890625E0
6.712395833E-1,-7.241700292E-1,5.701164603E-1,1.541948795E0
6.911265833E-1,-5.658160448E-1,3.248119056E-1,1.565563798E0
7.110145834E-1,-6.525550485E-1,2.533283234E-1,1.289800763E0
7.309025833E-1,-6.959633231E-1,2.561162710E-1,1.075762987E0
7.507895834E-1,-7.317843437E-1,6.424031258E-1,1.402324915E0
7.706775834E-1,-4.674059153E-1,8.379685879E-1,1.596048474E0
7.905655833E-1,-5.412494540E-1,8.070518970E-1,1.690668821E0
8.104525834E-1,-5.437669158E-1,1.207281113E0,2.088469982E0
8.303405833E-1,6.304985285E-1,2.233062983E0,1.609862208E0
8.502285833E-1,1.846998036E-1,1.220981956E0,1.565000057E0
8.701165834E-1,-2.732580900E-1,-7.286433596E-3,1.590115190E0
8.900035833E-1,4.934336841E-1,-5.898226500E-1,1.987580419E0
9.098915834E-1,1.012973547E0,-1.518638849E0,1.338146567E0
9.297795834E-1,1.094401121E0,-1.976378560E0,1.606146932E0
9.496665833E-1,1.229336619E0,-1.623238206E0,2.340024948E0
