"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.494645834E-2,-6.957093197E-1,-1.138637075E-1,-8.021444321E-1
3.483345837E-2,-6.929552811E-1,-3.424553409E-1,-9.797173548E-1
5.472145835E-2,-9.935252622E-1,-8.555043679E-1,-1.544171301E0
7.460945833E-2,-1.376270843E0,-8.299140286E-1,-1.179466428E0
9.449645836E-2,-1.695740486E0,-1.203275413E0,-1.071438534E0
1.143844583E-1,-1.359655395E0,-1.663903274E0,-1.201793436E0
1.342724583E-1,-1.205706977E0,-1.826861812E0,-1.443261808E0
1.541594584E-1,-1.029206434E0,-2.404473894E0,-1.996569791E0
1.740474583E-1,-1.080401146E0,-1.807422305E0,-2.586175536E0
1.939344584E-1,-8.735985768E-1,-1.585452205E0,-2.049958379E0
2.138224583E-1,-4.642747700E-2,-1.334681059E0,-9.240489382E-1
2.337104583E-1,9.584264731E-1,-1.159520698E0,-2.830596167E-1
2.535974584E-1,1.514376814E0,-3.385990291E-1,-7.101379091E-1
2.734854583E-1,2.190903173E0,-1.901585428E-1,1.420754120E0
2.933734583E-1,2.511047001E0,-9.079726034E-1,3.076552861E0
3.132604584E-1,2.666667722E0,-1.428972967E0,3.996017582E0
3.331484583E-1,1.939174107E0,-5.612969615E-1,2.665228137E0
3.530364584E-1,5.994015849E-1,-1.040804386E-3,2.148728376E0
3.729234583E-1,-1.014978404E0,-1.369052455E-1,3.238578038E0
3.928114583E-1,3.421673656E-1,-1.489996556E0,3.775007449E0
4.126994584E-1,3.971452260E-1,-1.446037188E0,4.108226820E0
4.325865834E-1,3.214688069E-1,-1.024428089E0,3.638508292E0
4.524745833E-1,-1.181178492E0,-2.736608022E-1,2.132300624E0
4.723625833E-1,-1.888298653E0,4.310959142E-1,-2.440648863E0
4.922495834E-1,-1.604304652E0,7.637960529E-1,-2.050636071E0
5.121375833E-1,-1.317161924E0,9.104787201E-1,1.395200619E0
5.320255833E-1,-9.155771998E0,1.344867786E0,5.006852649E0
5.519125834E-1,-6.361377697E0,3.532024063E0,-7.844727430E0
5.718005833E-1,-8.728284985E-1,2.257601193E0,-1.352983488E1
5.916885834E-1,-1.030263026E0,1.037467965E0,-1.073994498E0
6.115765834E-1,-8.849029988E-1,1.651955366E-1,2.318564702E0
