"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
9.321250007E-3,-1.104961157E0,7.145196795E-1,-1.817192882E-1
2.921125000E-2,-7.260020971E-1,4.845894575E-1,-4.594730139E-1
4.910025001E-2,-1.310433447E-1,2.829736471E-2,-6.966607571E-1
6.899025000E-2,1.215267554E-1,-2.448982000E-2,-7.567307353E-1
8.888025000E-2,-3.179112077E-2,2.827532291E-1,-6.955356598E-1
1.087692500E-1,-2.779462636E-1,5.139905214E-1,-6.075004339E-1
1.286592500E-1,-3.800323904E-1,4.840427637E-1,-4.944355786E-1
1.485492500E-1,-3.494428098E-1,3.756900728E-1,-3.566250503E-1
1.684382500E-1,-3.155248463E-1,3.496241271E-1,-2.385283113E-1
1.883282500E-1,-3.242761195E-1,4.552276134E-1,-1.805356443E-1
2.082182500E-1,-2.921188474E-1,8.132328391E-1,-1.108316705E-1
2.281072500E-1,-2.134714723E-1,1.244282007E0,1.492685638E-2
2.479972500E-1,-3.103235066E-1,1.302468896E0,1.848774254E-1
2.678872500E-1,-5.300251245E-1,1.185079575E0,2.185429484E-1
2.877762500E-1,-8.183001280E-1,1.086369991E0,1.062230170E-1
3.076662500E-1,-1.089640498E0,1.261466384E0,-2.983042598E-1
3.275562500E-1,-1.166271091E0,1.705273509E0,-5.978448391E-1
3.474452500E-1,-1.396854758E0,2.013281822E0,-4.383110702E-1
3.673352500E-1,-2.075532436E0,1.780745268E0,-1.512560397E-1
3.872252500E-1,-2.872506618E0,1.594237447E0,-6.232989207E-2
4.071142500E-1,-3.434934378E0,1.563643575E0,-5.382598639E-1
4.270042500E-1,-3.355278015E0,2.444430590E0,-1.236256599E0
4.468942500E-1,-1.912338018E0,3.211486816E0,-1.515380263E0
4.667832500E-1,1.323857546E0,7.203211188E-1,-9.041839242E-1
4.866732500E-1,4.161553860E0,-1.027263999E0,1.463954300E-1
5.065632500E-1,5.092614651E0,-1.105149269E0,9.651635289E-1
5.264522500E-1,2.325029135E0,3.019725800E0,1.326997638E0
5.463422500E-1,1.017245412E0,3.890179157E0,5.341530442E-1
5.662322500E-1,1.317470670E0,3.117000103E0,-3.153806031E-1
5.861212500E-1,1.025373101E0,3.047642231E0,5.693739057E-1
6.060112500E-1,6.278041601E-1,1.545637131E0,1.307852268E0
6.259012500E-1,-1.130191982E-1,9.306542277E-1,1.430765629E0
6.457902500E-1,-3.837456405E-1,4.238247275E-1,-6.651548296E-2
6.656802500E-1,-4.092112780E-1,1.084063292E0,-2.504413366E0
6.855702500E-1,1.901217252E-1,2.618045568E0,-3.130853176E0
7.054592500E-1,1.618422270E0,3.610227346E0,-3.199755430E0
7.253492500E-1,2.652836084E0,4.881222725E0,-3.796837091E0
7.452392500E-1,2.525771856E0,5.643456459E0,-4.176171303E0
7.651283750E-1,1.082309723E0,5.718340397E0,-4.922644615E0
7.850183750E-1,3.820670843E-1,4.723369122E0,-5.773483753E0
8.049083750E-1,1.425617099E0,4.607776165E0,-5.113036156E0
8.247983750E-1,1.995803475E0,4.595370770E0,-4.461886406E0
8.446873750E-1,1.756426334E0,4.045289040E0,-4.038960934E0
8.645773750E-1,5.950956941E-1,3.339172125E0,-4.109361172E0
8.844673750E-1,-7.680879235E-1,1.882451773E0,-4.169391632E0
9.043563750E-1,-9.571985602E-1,1.333395839E0,-3.662772179E0
9.242463750E-1,-6.531544924E-1,8.799467683E-1,-3.186583996E0
9.441363750E-1,-5.971876383E-1,-3.884932399E-1,-2.823406935E0
9.640253750E-1,-7.326592803E-1,-1.176770568E0,-2.898195267E0
9.839153750E-1,-2.530592084E-1,-1.514807105E0,-2.446562529E0
1.003805375E0,-1.961067021E-1,-6.383533478E-1,-8.804020882E-1
1.023694375E0,-8.562143445E-1,-2.551642954E-1,-1.286871076E0
1.043584375E0,1.335446686E-1,-2.387329340E0,-1.396566033E0
1.063474375E0,1.106418371E0,-1.985356688E0,-1.178963423E0
1.083364375E0,1.084921837E0,-2.092523813E0,-1.397794604E0
1.103253375E0,1.190455079E0,-1.373458147E0,-8.635720611E-1
1.123143375E0,1.776762962E0,-1.670835465E-1,-3.032622337E-1
1.143033375E0,1.360218644E0,2.878088132E-2,2.499474883E-1
1.162922375E0,4.213905931E-1,-7.705929875E-2,1.028360367E0
1.182812375E0,-4.207962155E-1,-4.904997945E-1,1.089167118E0
1.202702375E0,-1.286616683E0,-8.784401417E-1,6.514751315E-1
1.222591375E0,-1.519876122E0,1.855592430E-1,2.890367508E-1
1.242481375E0,-1.231487751E0,1.760994911E0,2.091817409E-1
1.262371375E0,-4.927938282E-1,2.077414036E0,2.441583127E-1
1.282260375E0,4.875815660E-2,1.693339705E0,8.596196771E-1
1.302150375E0,-2.156205326E-1,2.027159482E-1,7.235077024E-1
1.322040375E0,6.247228011E-3,-1.039670259E-1,7.078483701E-1
1.341930375E0,4.248783290E-1,1.495079100E-1,3.313851953E-1
1.361819375E0,4.122824669E-1,1.196475863E0,7.798923254E-1
1.381709375E0,1.346931338E0,1.298201919E0,6.608117223E-1
1.401599375E0,1.121387124E0,9.454933554E-2,1.498490572E-1
1.421488375E0,4.333858192E-1,-2.389020026E-1,-8.579960465E-2
1.441378375E0,-1.114088669E-1,-1.628730148E-1,-1.652044803E-2
1.461268375E0,-5.553836823E-1,-6.927551627E-1,1.822968572E-1
1.481157375E0,-6.796017885E-1,-9.851606190E-2,-4.964416325E-1
1.501047375E0,-2.932984233E-1,9.398350865E-2,-1.548348784E0
1.520937375E0,-5.257887840E-1,6.160779595E-1,-2.529256105E0
1.540826375E0,-1.268097639E0,9.604593515E-1,-3.886093616E0
1.560716375E0,-2.072918415E0,1.503229141E0,-5.305141926E0
1.580606375E0,-3.154856443E0,2.772089481E0,-5.398714542E0
1.600495375E0,-3.518877268E0,1.358285069E0,-3.487099171E0
1.620385375E0,-1.995212197E0,-1.197006822E0,-1.228035018E-1
1.640275375E0,-1.185372949E0,-1.709724188E0,1.094857335E0
1.660164375E0,-7.855864167E-1,-1.070311904E0,9.110135436E-1
1.680054375E0,-3.264428079E-1,4.478175044E-1,-1.177671254E-1
1.699944375E0,-2.369396985E-1,1.751930237E0,-2.159784317E0
1.719833375E0,-1.200266719E0,3.413877487E0,-3.728183031E0
1.739723375E0,-1.066751003E0,4.495246410E0,-4.402647018E0
1.759613375E0,-4.985947311E-1,5.819808960E0,-4.238185883E0
1.779502083E0,-4.169412851E-1,5.480225563E0,-3.620546818E0
1.799392083E0,-2.769368589E-1,2.303129196E0,-1.147359610E0
1.819282083E0,3.624999821E-1,7.563759089E-1,3.216177523E-1
1.839172083E0,9.208037853E-1,8.450735211E-1,6.723234057E-1
1.859061083E0,1.078279257E0,1.954269171E0,3.542201519E-1
1.878951083E0,1.049572110E0,2.975959063E0,-2.044773102E-1
1.898841083E0,9.321376085E-1,2.934391022E0,-8.180695176E-1
1.918730083E0,1.037479997E0,2.060729027E0,-1.100975513E0
1.938620083E0,1.182021022E0,1.269171000E0,-1.336304307E0
1.958510083E0,-2.857713461E0,-1.826486826E0,-4.946088493E-1
1.978399083E0,-4.003363550E-1,-3.801768124E-1,1.136427879E0
1.998289083E0,2.718492746E0,-1.051961541E0,2.313710690E0
2.018179083E0,3.558349609E0,-2.008222818E0,2.662479162E0
2.038068083E0,1.160033464E0,-4.728588462E-1,1.906163335E0
2.057958083E0,-2.944612741E0,-1.004227251E-1,3.181501627E-1
2.077848083E0,-3.319818974E0,-1.604820609E0,-8.478971124E-1
2.097737083E0,-1.974982142E0,-2.440777302E0,-1.829887509E0
2.117627083E0,-6.783812642E-1,-2.524806499E0,-1.825798631E0
2.137517083E0,9.367950559E-1,-1.862372875E0,-1.314660430E0
2.157406083E0,1.595382810E0,-1.830891728E0,-1.047144175E0
2.177296083E0,1.798654795E0,-1.509796739E0,-6.509633660E-1
2.197186083E0,1.561133742E0,-6.202019453E-1,-4.441648722E-1
2.217075083E0,1.161111593E0,6.320744753E-1,-1.679439396E-1
2.236965083E0,1.152429104E0,1.670546412E0,2.320291996E-1
2.256855083E0,1.493957400E0,2.271701813E0,4.425165355E-1
2.276744083E0,2.083997011E0,1.981805921E0,5.514311790E-1
2.296634083E0,2.819581747E0,5.919823050E-1,6.384839416E-1
2.316524083E0,3.181195974E0,-7.579329610E-1,8.355677724E-1
2.336413083E0,3.144421339E0,-1.679973841E0,9.109951258E-1
2.356303083E0,2.654832602E0,-2.434392214E0,5.214063525E-1
2.376193083E0,1.260457993E0,-4.519595623E0,-3.911952674E-1
2.396082083E0,-8.885155320E-1,-5.803907871E0,-4.611519277E-1
2.415972083E0,-1.637904525E0,-4.052132130E0,3.222069442E-1
2.435862083E0,-1.639447212E0,-1.466652274E0,9.875038862E-1
2.455751083E0,-2.311827898E0,-8.213707209E-1,8.624451160E-1
2.475641083E0,-2.595852375E0,2.694661617E-1,1.187537670E0
2.495531083E0,-3.125317097E0,8.076825142E-1,2.289406061E0
2.515420083E0,-2.370496750E0,8.961879611E-1,2.987788677E0
2.535310083E0,-1.043729782E0,3.899407625E0,2.976005554E0
2.555200083E0,-7.978084087E-1,6.214868546E0,2.510230541E0
2.575089083E0,-1.782248855E0,5.159104824E0,1.312676549E0
2.594979083E0,-3.156539440E0,1.326560140E0,-2.967612147E-1
2.614868083E0,-2.821788549E0,-2.805909395E0,-8.156858683E-1
2.634758083E0,-7.959932685E-1,-3.838788509E0,-1.125215068E-1
2.654648083E0,1.620634496E-1,-2.111353159E0,5.734680891E-1
2.674537083E0,-1.425409466E-1,1.111228243E-1,1.064218998E0
2.694427083E0,-9.127794951E-2,1.106787920E0,1.232616305E0
2.714317083E0,4.949201345E-1,2.387215376E0,1.039551973E0
2.734206083E0,9.999970198E-1,2.886093140E0,8.483163714E-1
2.754096083E0,1.112958550E0,1.970520973E0,5.040143132E-1
2.773986375E0,1.385237694E0,1.258780003E0,-1.346683055E-1
2.793875375E0,1.757961154E0,1.523787260E0,-5.986444950E-1
2.813765375E0,1.731181741E0,2.114092827E0,-1.147616386E0
2.833655375E0,8.269838095E-1,2.067055941E0,-1.868741274E0
2.853544375E0,-9.835916162E-1,2.266920567E0,-1.926350355E0
2.873434375E0,-1.529141188E0,-6.851529479E-1,5.707404017E-2
2.893324375E0,1.071952820E0,-1.719479322E0,2.040307283E0
2.913213375E0,2.312822580E0,-1.231221914E0,2.067934990E0
2.933103375E0,1.425162792E0,-6.803851128E-1,6.030530334E-1
2.952993375E0,-1.187902451E0,2.427457571E-1,-4.947924018E-1
2.972882375E0,-1.798748493E0,-5.302761793E-1,-1.141982675E0
2.992772375E0,-1.311277270E0,-1.161202073E0,-2.161285639E0
3.012662375E0,1.458081126E0,-1.369780898E0,-1.817435503E0
3.032551375E0,1.517335653E0,-2.494226217E0,-1.457401633E0
3.052441375E0,8.903959394E-1,-3.078135729E0,-7.503378987E-1
3.072331375E0,4.280838370E-1,-2.810270786E0,-4.243945181E-1
3.092220375E0,1.481211483E-1,-2.093502283E0,-5.937545300E-1
3.112110375E0,-2.384239435E-1,-6.763811707E-1,-6.334226727E-1
3.132000375E0,-3.383861780E-1,9.009225368E-1,-3.601443470E-1
3.151889375E0,6.152284518E-2,1.901257992E0,-5.898081139E-2
3.171779375E0,6.726614833E-1,2.277316332E0,1.060605571E-1
3.191669375E0,1.412284851E0,1.976814032E0,2.006682754E-1
3.211558375E0,2.302323341E0,8.016619682E-1,2.787189782E-1
3.231448375E0,2.994424582E0,-8.293388486E-1,3.319163322E-1
3.251338375E0,3.322464466E0,-1.858511806E0,3.531419039E-1
3.271227375E0,3.113424301E0,-2.324404240E0,-4.720957577E-2
3.291117375E0,2.442579985E0,-2.535154819E0,-6.962013841E-1
3.311007375E0,1.577858686E0,-4.024800777E0,-7.504714727E-1
3.330896375E0,-8.754249215E-1,-5.334716320E0,-2.690956295E-1
3.350786375E0,-2.460489273E0,-2.322735071E0,1.110321283E-1
3.370676375E0,-1.835186481E0,1.296590269E-1,2.131405026E-1
3.390565375E0,-1.410573840E0,5.030480027E-1,4.308199584E-1
3.410455375E0,-2.924852848E0,5.053510070E-1,1.778033495E0
3.430345375E0,-3.967301846E0,-2.717199028E-1,2.403115988E0
3.450234375E0,-1.944814563E0,2.303527832E0,3.086652040E0
3.470124375E0,-7.716552019E-1,6.423478127E0,3.001750708E0
3.490014375E0,-7.959222794E-1,7.450799942E0,2.144452333E0
3.509903375E0,-2.063243866E0,3.541739941E0,3.961924016E-1
3.529793375E0,-2.876765490E0,-1.440560818E0,-8.380599022E-1
3.549683375E0,-1.759946704E0,-2.858350277E0,-8.280563354E-1
3.569572375E0,-5.480548739E-1,-2.277480364E0,-1.971368343E-1
3.589462375E0,-3.130730093E-1,1.690802425E-1,3.593647480E-1
3.609352375E0,-3.630969524E-1,9.709026217E-1,1.011736989E0
3.629241375E0,-1.519140899E-1,1.815198064E0,1.360998154E0
3.649131375E0,4.784399867E-1,3.146688938E0,1.226698399E0
3.669021375E0,8.763970137E-1,3.518016815E0,9.241143465E-1
3.688910375E0,8.950248957E-1,2.241091967E0,3.421227634E-1
3.708800375E0,1.158844590E0,1.516093731E0,-2.784855664E-1
3.728690375E0,1.484728932E0,1.557285905E0,-6.635675430E-1
3.748579375E0,1.347088814E0,1.440438390E0,-1.094996333E0
3.768469708E0,6.649226546E-1,8.248460293E-1,-1.881511331E0
3.788359708E0,-1.481751800E0,1.249706388E0,-2.078018904E0
3.808248708E0,-1.191303849E0,9.967495203E-1,3.757658601E-1
3.828138708E0,2.388345480E0,1.682084054E-1,2.004380226E0
3.848028708E0,2.816811085E0,-1.522317052E0,1.913751245E0
3.867917708E0,1.095413685E0,-2.338038206E0,5.292831659E-1
3.887807708E0,-1.364467025E0,-2.194362640E0,-3.091074824E-1
3.907697708E0,-1.541976690E0,-1.163076997E0,-1.109039903E0
3.927586708E0,-8.326391578E-1,-2.071687579E-1,-1.646644473E0
3.947476708E0,1.751695395E0,4.162722453E-2,-9.208996296E-1
3.967366708E0,1.722403169E0,-1.539960742E0,-5.558403134E-1
3.987255708E0,8.030737042E-1,-2.819174528E0,-5.473163724E-1
4.007145708E0,-1.084813029E-1,-3.140467167E0,-7.639391422E-1
4.027035708E0,-6.725350618E-1,-2.563614130E0,-9.806271195E-1
4.046924708E0,-9.673528671E-1,-1.318164587E0,-7.941101789E-1
4.066814708E0,-6.441637874E-1,1.680244952E-1,-2.580266297E-1
4.086704708E0,1.099807844E-1,8.411687613E-1,1.553127468E-1
4.106593708E0,1.066433907E0,1.115516067E0,3.526910841E-1
4.126483708E0,1.937331676E0,1.075987935E0,3.510598838E-1
4.146373708E0,2.725966215E0,2.307878286E-1,2.393874824E-1
4.166262708E0,3.190588236E0,-6.230952740E-1,3.380340040E-1
4.186152708E0,3.355149746E0,-1.085210800E0,4.680203795E-1
4.206042708E0,3.104912043E0,-1.340044141E0,3.115092777E-2
4.225931708E0,2.311384201E0,-1.881136060E0,-8.483572602E-1
4.245821708E0,1.731872797E0,-3.480510712E0,-8.726989031E-1
4.265711708E0,6.171174049E-1,-5.552586555E0,-7.182322741E-1
4.285600708E0,-1.673424602E0,-3.325764894E0,-3.340500295E-1
4.305490708E0,-2.124433041E0,-4.440227747E-1,1.521773189E-1
4.325380708E0,-1.568498731E0,-7.299288511E-1,2.539879382E-1
4.345269708E0,-2.931893826E0,2.409203500E-1,1.060869813E0
4.365159708E0,-3.478253365E0,1.158491254E0,1.863000393E0
4.385049708E0,-2.769221544E0,6.753015518E-1,2.811693668E0
4.404938708E0,-8.847437501E-1,4.987421036E0,2.897962332E0
4.424828708E0,-5.416517258E-1,7.438735008E0,1.818267226E0
4.444718708E0,-1.786942244E0,4.536774635E0,2.548325360E-1
4.464607708E0,-3.316477537E0,3.589848578E-1,-9.217529297E-1
4.484497708E0,-3.118307829E0,-1.481430650E0,-9.545974731E-1
4.504387708E0,-2.059747934E0,-2.028968811E0,-1.567449421E-1
4.524276708E0,-1.444787860E0,-1.027783632E0,5.557178855E-1
4.544166708E0,-1.022378206E0,3.503789306E-1,1.054711580E0
4.564056708E0,-2.500106990E-1,2.513062000E0,1.407472610E0
4.583945708E0,3.332241774E-1,3.552684069E0,1.744808674E0
4.603835708E0,4.799675047E-1,2.571281433E0,1.948754072E0
4.623725708E0,9.272064567E-1,1.522581816E0,1.639294982E0
4.643614708E0,1.438202858E0,1.604909182E0,5.538868904E-1
4.663504708E0,1.707542658E0,1.532533407E0,-2.531287670E-1
4.683394708E0,1.990250111E0,1.485442638E0,-6.673750877E-1
4.703283708E0,2.085048199E0,1.290646791E0,-1.172007680E0
4.723173708E0,5.944294333E-1,2.054107904E0,-1.697315216E0
4.743063708E0,-2.710886955E0,2.295741558E0,-6.925210953E-1
4.762952708E0,1.980775714E0,9.595610499E-1,8.767981529E-1
4.782842583E0,2.735408306E0,-1.113016725E0,1.145584226E0
4.802732583E0,1.044497848E0,-3.710990667E0,1.089996457E0
4.822621583E0,-2.032162189E0,-1.752414465E0,7.591888905E-1
4.842511583E0,-1.827582598E0,-1.953804791E-1,-4.283719659E-1
4.862401583E0,-5.238897800E-1,-1.576759666E-1,-1.175493956E0
4.882290583E0,1.587043285E0,-1.732008219E0,-9.602992535E-1
4.902180583E0,1.595540047E0,-3.927287579E0,-1.003494859E0
4.922070583E0,8.820443153E-1,-4.307026863E0,-1.145010233E0
4.941959583E0,1.043070480E-1,-3.407155752E0,-1.317218065E0
4.961849583E0,-4.160387516E-1,-1.717493892E0,-1.333432436E0
4.981739583E0,-3.597388566E-1,6.331561804E-1,-9.043957591E-1
5.001628583E0,2.517287433E-1,2.339064360E0,-2.306393087E-1
5.021518583E0,1.042227864E0,2.814512968E0,2.408027947E-1
5.041408583E0,2.136186361E0,1.925879359E0,3.233512044E-1
5.061297583E0,3.787253380E0,-1.055908203E0,-8.153271675E-2
5.081187583E0,4.485848904E0,-2.873844624E0,-4.444991648E-1
5.101077583E0,4.236340523E0,-2.789048195E0,-2.743949294E-1
5.120966583E0,3.558403730E0,-1.814384460E0,-3.530440480E-2
5.140856583E0,2.404762268E0,-1.163276315E0,-2.174962163E-1
5.160746583E0,-3.738768026E-2,-3.620643377E0,-6.299136877E-1
5.180635583E0,-1.605723977E0,-4.915599346E0,-2.750678360E-1
5.200525583E0,-1.472537875E0,-3.463410378E0,2.455627620E-1
5.220415583E0,-7.148367763E-1,-2.050497532E0,4.532105923E-1
5.240304583E0,-1.269028068E0,-1.744853735E0,2.688529901E-2
