"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
6.192500005E-4,7.588320007E0,4.276157684E0,9.973310394E0
2.050925000E-2,7.117998047E0,3.556005249E0,1.171508835E1
4.039925001E-2,5.719306641E0,3.074606323E0,1.144759460E1
6.028825000E-2,4.783303070E0,2.629731445E0,9.733958130E0
8.017825001E-2,4.962181091E0,2.924767914E0,8.092471619E0
1.000682500E-1,5.072501678E0,3.113076324E0,7.245832214E0
1.199572500E-1,4.631818085E0,2.937042389E0,7.512727203E0
1.398472500E-1,4.105811920E0,2.836900635E0,7.804620209E0
1.597372500E-1,3.902534637E0,2.915786591E0,7.893235931E0
1.796262500E-1,4.044589233E0,3.042123871E0,7.610773315E0
1.995162500E-1,3.743714905E0,3.156486053E0,7.264842682E0
2.194062500E-1,3.991150360E0,3.249442749E0,7.643704834E0
2.392952500E-1,3.850143585E0,3.360212402E0,7.228767700E0
2.591852500E-1,3.595672760E0,3.053200836E0,6.652017059E0
2.790752500E-1,3.220103760E0,2.558928680E0,6.536157990E0
2.989642500E-1,3.112627258E0,1.970801697E0,6.493197327E0
3.188542500E-1,3.830534363E0,2.596500549E0,8.194858704E0
3.387442500E-1,2.010319519E0,2.784060516E0,1.011057495E1
3.586332500E-1,4.445755005E-2,2.914589081E0,7.505991211E0
3.785232500E-1,-6.674620056E-1,2.283202057E0,6.987768860E0
3.984132500E-1,1.001716919E0,1.931583252E0,8.913813629E0
4.183022500E-1,2.136656799E0,1.516646118E0,9.391021271E0
4.381922500E-1,1.369053040E0,5.691165161E-1,1.027583130E1
4.580822500E-1,2.481838989E0,-1.903741150E0,9.574090576E0
4.779712500E-1,-1.728006592E0,-1.510359192E0,1.689072556E1
4.978612500E-1,-1.258133698E0,-1.379082184E0,1.112486572E1
5.177512500E-1,-1.010249176E0,1.419348450E0,9.979447632E0
5.376402500E-1,-9.937834167E-1,2.333347778E0,9.360335083E0
5.575302500E-1,1.654509430E0,2.938539276E0,1.120330261E1
5.774202500E-1,-3.523971863E0,4.999603271E-2,1.172466843E1
5.973102500E-1,-6.854695587E0,-3.137475586E-1,6.386768646E0
6.171992500E-1,-4.113296356E0,8.177494812E-1,3.260519714E0
6.370892500E-1,9.210346985E-1,2.445165253E0,4.415068817E0
6.569792500E-1,2.993325348E0,2.111658783E0,3.937112732E0
6.768682500E-1,1.419348450E0,-5.209167480E-1,6.351741486E0
6.967582500E-1,8.960366821E-1,-1.932481384E0,4.571942596E0
7.166482500E-1,6.417155457E-1,-3.346590729E0,6.685697021E0
7.365372500E-1,8.098159790E-2,-3.384461975E0,3.885619812E0
7.564272500E-1,-1.690434723E0,-4.443509674E0,7.768844604E-1
7.763173750E-1,-3.863465881E0,-1.388213196E0,2.335144043E-2
7.962063750E-1,-1.075438614E1,-4.798721008E0,4.936434631E0
8.160963750E-1,-1.233524872E1,-4.350702667E0,5.513634338E0
8.359863750E-1,-1.301663177E1,-2.722688141E0,-8.774752808E-1
8.558753750E-1,-1.103071152E1,-2.112257538E0,-4.445305939E0
8.757653750E-1,-1.021011795E1,-3.431314545E0,-5.087320862E0
8.956553750E-1,-1.264869690E1,-3.100053406E0,-2.947071533E0
9.155453750E-1,-1.170251450E1,-4.893773346E0,2.155218201E0
9.354343750E-1,-1.205413330E1,-4.641098785E0,3.460354156E0
9.553243750E-1,-1.416833679E1,-4.455335083E0,3.892505493E0
9.752143750E-1,-1.420426208E1,-5.736371155E0,6.630910950E0
9.951033750E-1,-1.642743896E1,-7.667505341E0,7.224726105E0
1.014993375E0,-2.127705414E1,-6.605314178E0,5.641767883E-1
1.034883375E0,-9.336833954E0,-2.061662750E0,7.102729797E-1
