"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
9.321250007E-3,4.589541254E0,3.562394794E0,7.904527490E0
2.921125000E-2,4.466458826E0,3.439525497E0,8.028481445E0
4.910025001E-2,4.386078614E0,3.423513482E0,8.079478521E0
6.899025000E-2,4.341718420E0,3.492998577E0,8.073694455E0
8.888025000E-2,4.271590132E0,3.566938080E0,8.078772762E0
1.087692500E-1,4.158419319E0,3.595731817E0,8.124922496E0
1.286592500E-1,4.034420633E0,3.585542751E0,8.191668463E0
1.485492500E-1,3.933680709E0,3.558331564E0,8.252304674E0
1.684382500E-1,3.855592898E0,3.527407394E0,8.302283165E0
1.883282500E-1,3.775411199E0,3.490129348E0,8.354721580E0
2.082182500E-1,3.663638456E0,3.448145170E0,8.421647640E0
2.281072500E-1,3.483818448E0,3.410380636E0,8.512837892E0
2.479972500E-1,3.268342119E0,3.362120349E0,8.616854596E0
2.678872500E-1,3.069798450E0,3.275656986E0,8.722528986E0
2.877762500E-1,2.877665376E0,3.150680353E0,8.833365882E0
3.076662500E-1,2.667328457E0,2.983663409E0,8.956517599E0
3.275562500E-1,2.387381606E0,2.801708290E0,9.093236026E0
3.474452500E-1,2.006036434E0,2.596775368E0,9.244926834E0
3.673352500E-1,1.625956599E0,2.293176384E0,9.398601601E0
3.872252500E-1,1.304373771E0,1.828702370E0,9.549374396E0
4.071142500E-1,1.002545323E0,1.224361422E0,9.681525562E0
4.270042500E-1,6.166516750E-1,5.682654539E-1,9.774094003E0
4.468942500E-1,4.251009833E-2,3.325696407E-2,9.809851481E0
4.667832500E-1,-2.696403847E-1,-5.591974639E-2,9.806134406E0
4.866732500E-1,-2.377926110E-1,5.085965916E-1,9.793920742E0
5.065632500E-1,-6.974208226E-3,1.430063326E0,9.705203277E0
5.264522500E-1,-9.810079266E-2,2.190845578E0,9.561729562E0
5.463422500E-1,-7.417939306E-1,2.466810183E0,9.465763890E0
5.662322500E-1,-1.374953173E0,2.692373544E0,9.332562563E0
5.861212500E-1,-1.959822380E0,2.916629467E0,9.159064565E0
6.060112500E-1,-2.312221057E0,3.113142690E0,9.010997277E0
6.259012500E-1,-2.429247670E0,3.228716416E0,8.939253110E0
6.457902500E-1,-2.523138166E0,3.231620436E0,8.912154774E0
6.656802500E-1,-2.695916079E0,3.083020467E0,8.914208901E0
6.855702500E-1,-3.212262059E0,2.882809171E0,8.809477082E0
7.054592500E-1,-3.924878603E0,2.807173390E0,8.541147771E0
7.253492500E-1,-4.825561482E0,2.867128401E0,8.045472869E0
7.452392500E-1,-5.858918855E0,2.859477027E0,7.330249636E0
7.651283750E-1,-6.897745712E0,2.539513001E0,6.496774068E0
