"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
9.321250007E-3,3.014795447E0,3.398404661E-1,2.973800910E0
2.921125000E-2,2.061316595E0,-6.209889203E-2,3.888387299E0
4.910025001E-2,7.623152456E-1,-5.936482170E-1,2.698108785E0
6.899025000E-2,4.623913819E-1,-8.087804371E-1,9.276870757E-1
8.888025000E-2,7.835473627E-1,-5.065521857E-1,-4.900036883E-1
1.087692500E-1,7.675371015E-1,-5.250174004E-1,-8.877722275E-1
1.286592500E-1,3.248142913E-1,-7.179562211E-1,-5.530530453E-1
1.485492500E-1,3.995577872E-2,-6.714348963E-1,-3.075758225E-1
1.684382500E-1,1.032246986E-1,-5.954544219E-1,-5.699626082E-1
1.883282500E-1,1.063167062E-1,-3.798971093E-1,-9.277660131E-1
2.082182500E-1,1.426463342E-1,-2.346277142E-1,-9.240389979E-1
2.281072500E-1,5.386165622E-1,-1.197737807E-1,-9.725685489E-1
2.479972500E-1,4.249276865E-1,-3.528853118E-2,-1.696146283E0
2.678872500E-1,4.233375362E-1,-4.975840187E-1,-2.251186212E0
2.877762500E-1,1.550281057E-1,-9.505555362E-1,-2.559312842E0
3.076662500E-1,1.030282029E0,-2.689090624E-1,-1.066725093E0
3.275562500E-1,6.854284528E-1,-6.081697771E-1,-2.688959062E-2
3.474452500E-1,-7.101813246E-1,4.296308944E-1,-3.549142957E-1
3.673352500E-1,-2.356287867E0,3.323637776E-1,-2.752272713E0
3.872252500E-1,-1.459451432E0,3.443286426E-1,-1.137018566E0
4.071142500E-1,8.594326736E-1,6.268389134E-1,-3.819646847E-1
4.270042500E-1,1.159554685E0,6.298430666E-1,-3.863898575E-2
4.468942500E-1,1.673221982E0,-2.986550727E-1,2.481827295E-1
4.667832500E-1,1.247856193E0,-3.279444228E0,3.093740167E0
4.866732500E-1,-1.108208384E0,-1.403286148E0,2.650600743E0
5.065632500E-1,-8.658607370E-1,-1.809524233E0,6.222706300E-1
5.264522500E-1,-8.973292091E-1,-2.115116242E-1,3.750387747E0
5.463422500E-1,-2.700726584E-2,8.163999438E-2,-1.609052591E0
5.662322500E-1,-6.287798966E-1,-7.670775104E-1,4.340271235E-1
5.861212500E-1,-3.344247749E0,-3.239807707E0,1.435603124E0
6.060112500E-1,-3.427143726E0,-2.869000387E0,-4.784386559E0
6.259012500E-1,-2.136563829E-1,-1.738415513E0,-5.973171110E0
6.457902500E-1,5.367822322E0,-7.111617565E-1,-3.340740589E0
6.656802500E-1,5.638946017E0,-2.082351369E0,-2.872323067E0
6.855702500E-1,3.756979313E0,-4.255155363E0,-3.673956453E0
7.054592500E-1,5.323869386E0,-5.660988851E0,-3.315215154E0
7.253492500E-1,5.283758656E0,-5.671396894E0,-1.885332946E0
7.452392500E-1,5.259865179E0,-7.007800251E0,-5.117252174E0
7.651283750E-1,4.379682637E0,-6.073364904E0,-6.607843684E0
7.850183750E-1,1.712699166E0,-1.611847414E0,-5.331469012E0
8.049083750E-1,-4.086849400E0,-5.858442891E0,1.294060160E0
8.247983750E-1,-3.202013059E0,-3.063483457E0,-1.261152907E0
8.446873750E-1,-3.356819848E0,-3.091601256E0,-6.179688334E0
8.645773750E-1,-8.754316789E-1,-2.045615067E0,-8.230916144E0
8.844673750E-1,-2.042923594E0,-7.928777647E-1,-8.210201797E0
9.043563750E-1,-2.821906035E0,-1.723723214E0,-1.147150182E0
9.242463750E-1,-2.967593506E0,-2.132572812E0,1.932626834E0
9.441363750E-1,-4.240016044E0,-3.944066826E-1,1.781165237E0
9.640253750E-1,-5.225956006E0,-7.624579176E-1,2.773233812E0
9.839153750E-1,-6.083194658E0,-2.511599270E0,4.815000241E0
1.003805375E0,-1.012910244E1,-2.348195613E0,3.260035857E0
1.023694375E0,-6.151455054E0,3.746173659E0,-1.676277737E0
1.043584375E0,-1.959999551E0,-2.221250222E0,-2.173962035E0
1.063474375E0,-3.679147026E0,-2.580346447E0,9.079950567E0
1.083364375E0,-2.594068108E0,-9.694964218E-1,2.927720173E0
1.103253375E0,-5.575661017E0,3.828663254E-1,1.718946916E0
1.123143375E0,-4.490583268E0,1.827213961E-1,7.524832109E0
1.143033375E0,-5.890355240E0,2.648761209E0,1.090349014E0
1.162922375E0,-7.203403648E0,4.373500961E0,-1.844476111E0
1.182812375E0,-4.726147122E0,4.969294814E0,-3.024903821E0
1.202702375E0,-2.255095661E-2,5.185844107E0,-4.361983700E0
1.222591375E0,3.568812990E0,3.849758838E0,-6.787348527E-1
1.242481375E0,3.344162965E0,1.861747032E0,2.420200565E-1
1.262371375E0,1.402050632E0,3.001354744E0,-1.316417281E0
1.282260375E0,-1.509520701E0,1.856134290E0,3.045445382E0
1.302150375E0,8.458927149E-1,3.012672030E0,-3.245570138E0
1.322040375E0,1.062975858E0,1.435293222E0,1.133356747E0
1.341930375E0,3.124376653E0,8.899035376E-1,2.230051451E0
1.361819375E0,3.708947361E-2,2.958022199E0,2.284149891E0
1.381709375E0,1.494940084E-1,2.426248925E0,3.334090259E0
1.401599375E0,1.656821419E0,5.250013205E-1,-1.325393050E0
1.421488375E0,1.114145427E0,2.873566770E0,-1.785473320E0
1.441378375E0,-3.975171089E-2,1.532965989E0,-3.957766852E0
1.461268375E0,1.467693813E0,9.422600913E-1,-4.549116528E0
1.481157375E0,1.372788826E0,4.313028180E0,-3.098140197E0
1.501047375E0,1.326860701E0,4.867650033E0,5.780042839E-1
1.520937375E0,2.527753081E0,1.966390557E0,-2.480035123E-1
1.540826375E0,1.891198872E0,2.610811610E0,-3.431313960E0
1.560716375E0,1.209998834E0,3.508274428E0,-5.367457455E0
1.580606375E0,-2.215471419E0,-1.874892157E0,-7.226936937E0
1.600495375E0,-6.380687542E0,-8.701572565E0,-8.945900810E0
1.620385375E0,-7.949856859E0,-1.273230507E1,-1.474995816E0
1.640275375E0,-4.779750887E0,-7.427265469E0,4.446580047E0
1.660164375E0,-1.240825939E0,-2.664760360E0,6.012027612E0
1.680054375E0,9.757371551E-1,6.922992235E-1,6.141292593E0
1.699944375E0,2.740197043E0,3.407284827E0,3.597733319E0
1.719833375E0,2.812061078E0,4.286203786E0,-8.212063551E-2
1.739723375E0,2.908449797E0,3.207952661E0,2.222059916E0
1.759613375E0,2.686272267E-1,-4.656199220E0,4.679859978E0
1.779502083E0,-4.506454951E-1,-1.694078942E1,2.040621106E0
1.799392083E0,-5.335701227E0,-1.982895142E1,-2.374942532E0
1.819282083E0,-2.165599640E-1,-2.617951060E0,3.998383366E0
1.839172083E0,3.020790889E0,5.226354786E0,6.034928817E0
1.859061083E0,5.435863447E0,9.530590800E0,6.290435768E0
1.878951083E0,6.837447470E0,1.136566576E1,4.966043762E0
1.898841083E0,6.993927732E0,1.188555573E1,3.387101116E0
1.918730083E0,5.739134549E0,9.634776489E0,2.133804820E0
1.938620083E0,5.062660815E0,7.241672505E0,1.477559820E0
1.958510083E0,1.186398156E0,-3.663561273E-1,-1.739411586E1
1.978399083E0,-1.040741587E1,-2.277507103E1,-1.546642218E1
1.998289083E0,-1.090963673E1,-1.293460353E1,-4.140294120E0
2.018179083E0,-7.191509827E0,3.781061071E-1,-6.220069206E0
2.038068083E0,4.405686960E-1,2.649721906E0,5.494126858E0
2.057958083E0,7.010825601E0,7.594504023E-1,4.742308241E0
2.077848083E0,8.749071836E0,-2.330408383E0,7.031789038E0
2.097737083E0,9.585835294E0,-2.081602340E0,8.321504717E0
2.117627083E0,7.173184068E0,-1.478399481E0,5.545548441E0
2.137517083E0,6.083954211E0,-1.302341571E0,6.570243748E0
2.157406083E0,5.514438331E0,-1.861128981E0,3.559301909E0
2.177296083E0,3.931746450E0,-2.761017809E0,3.248582039E0
2.197186083E0,2.497641382E0,-2.722882853E0,3.307737150E0
2.217075083E0,2.433988300E-1,-2.001484376E0,3.522191970E0
2.236965083E0,-1.122691279E0,7.013618231E-2,3.552188187E0
2.256855083E0,-6.126195082E-1,2.257825726E0,2.665243925E0
2.276744083E0,-9.204838908E-1,3.481405302E0,9.295809889E-1
2.296634083E0,-2.284475434E0,3.349777461E0,-1.529981278E0
2.316524083E0,-3.858167135E0,2.040877068E0,-2.391650366E0
2.336413083E0,-4.187600726E0,9.512256271E-1,-2.957169675E0
2.356303083E0,-2.987761137E0,1.070407085E0,-4.577689240E0
2.376193083E0,-8.971407826E-1,2.802555844E0,-1.008106522E1
2.396082083E0,-2.822766745E0,-1.618871820E-1,-1.245190301E1
2.415972083E0,-6.253022359E0,-1.755760401E0,-1.189404355E0
2.435862083E0,-7.851943479E0,-2.391792453E0,1.066136863E0
2.455751083E0,-8.832292918E0,-7.787754500E-1,-1.375061404E1
2.475641083E0,-1.159673486E1,1.402483910E-1,-8.651929119E0
2.495531083E0,-1.428243702E1,-3.997226787E-1,-4.883048968E0
2.515420083E0,-1.095849373E1,-3.406728757E0,-3.247671043E0
2.535310083E0,-3.397120905E0,-4.145627950E0,1.006171445E1
2.555200083E0,-4.205574775E-1,-4.074081420E0,7.736952721E0
2.575089083E0,1.235481584E-1,-8.221266484E0,1.882816304E0
2.594979083E0,4.031380373E-1,-1.268828255E1,-1.901093384E0
2.614868083E0,7.954028848E-1,-1.472324457E1,-1.194349346E-1
2.634758083E0,1.863332504E0,-9.773406370E0,6.705915524E0
2.654648083E0,5.349221744E0,-3.602944942E0,4.173682891E0
2.674537083E0,6.222374178E0,1.184671619E0,3.553279277E0
2.694427083E0,5.170560654E0,3.579230390E0,6.156442144E0
2.714317083E0,5.040219201E0,5.694080583E0,9.622403780E0
2.734206083E0,4.306350367E0,7.593765519E0,7.483858330E0
2.754096083E0,4.369736524E0,9.577387821E0,2.471714243E0
2.773986375E0,6.771838787E0,9.729911272E0,3.565294428E0
2.793875375E0,7.657158108E0,7.607683062E0,4.590398748E0
2.813765375E0,8.969497249E0,7.253877398E0,2.726130981E0
2.833655375E0,9.645045369E0,6.193665519E0,-2.055111530E0
2.853544375E0,6.137265615E0,5.384385145E-1,-7.929044280E0
2.873434375E0,-8.518746504E0,-1.537479864E1,-2.524916830E1
2.893324375E0,-1.728467820E1,-1.882778531E1,-8.484991697E0
2.913213375E0,-9.860346866E0,-8.914817011E-1,-4.971193990E0
2.933103375E0,-3.931760191E0,6.508005400E0,4.812843204E-1
2.952993375E0,4.821912235E-1,-2.525718250E0,1.092616564E1
2.972882375E0,3.870527271E0,-5.318914456E0,8.685828352E0
2.992772375E0,9.295173712E0,-2.701561566E0,5.871679233E0
3.012662375E0,9.542122679E0,-2.509558885E0,3.308448172E0
3.032551375E0,8.115363468E0,1.076764762E-2,1.033695341E0
3.052441375E0,6.389273593E0,-1.517226162E0,9.139268962E-1
3.072331375E0,5.535435097E0,-7.619623661E-1,2.030612866E0
3.092220375E0,4.979990541E0,-9.492954612E-2,2.722499861E0
3.112110375E0,2.710928221E0,-9.178789562E-1,3.856691297E0
3.132000375E0,2.408810189E-1,-1.012103328E0,4.880006661E0
3.151889375E0,-7.205912688E-1,3.848537940E-1,4.676164538E0
